ds,yhat,yhat_lower,yhat_upper
2023-10-02,64509.04919135389,38740.502794245986,88852.84245198098
2023-10-03,66220.15378274233,40296.65417859102,89062.30924018133
2023-10-04,65955.41084001923,41005.79198777443,91372.18246380052
2023-10-05,64837.72386971806,38488.78254792492,88592.85236840483
2023-10-06,66849.73993527301,43110.76776783537,92192.30417141964
2023-10-07,64391.14139375619,38124.64028713613,89291.21386374236
2023-10-08,66654.63921031603,41028.14968054275,90966.93840411706
2023-10-09,64093.8368880481,39596.405581959574,88088.07176314604
2023-10-10,66039.2202187375,41539.24738995934,91099.65219673893
2023-10-11,66032.70843238918,42453.13260122135,89092.7804844572
2023-10-12,65194.64307216271,39403.66574734158,91224.12198505847
2023-10-13,67504.4276554696,45773.272568586384,93249.50288779952
2023-10-14,65357.839678383185,39774.514211814574,89926.17140268127
2023-10-15,67943.06333675342,43391.815705456305,93331.29367073964
2023-10-16,65708.61274714932,40956.71695474138,90889.344001801
2023-10-17,67979.39690321099,43519.090164173045,91982.1997982811
2023-10-18,68291.36782220699,43255.8314551071,93661.19973367572
2023-10-19,67758.6196674962,42348.048557555296,92223.069463411
2023-10-20,70354.15325310279,46290.87250371228,95000.62428909798
2023-10-21,68467.3241980814,43486.87011614134,91805.362278246
2023-10-22,71280.02009173931,48101.486359573115,95958.77658674201
2023-10-23,69234.73309599535,44049.06292871291,95051.60942265285
2023-10-24,71650.77560094727,45927.189195166946,96882.74264581998
2023-10-25,72059.07659832458,44568.92873471145,95492.72881569993
2023-10-26,71569.42269519088,46735.689063514386,95681.06041094802
2023-10-27,74151.35434071756,48511.61914934484,100316.57039526766
2023-10-28,72191.731833604,46188.1868386218,97762.92442834876
2023-10-29,74871.01300611242,49003.342160389744,98564.75074446246
2023-10-30,72631.4058796149,49313.51366327927,98952.28224598302
2023-10-31,74793.14120015274,50454.88159116821,99777.22538749149
2023-11-01,74889.25940477473,49670.80835576383,100013.32947931685
2023-11-02,74032.97887030026,50295.89501983277,99340.16771621828
2023-11-03,76198.44590462351,51915.250341929524,101423.012187106
2023-11-04,73778.28983289946,49175.797523052526,100073.21275238383
2023-11-05,75959.82088071606,51087.5703590687,100051.24533250512
2023-11-06,73193.07611961133,48592.42078546747,99874.57725261908
2023-11-07,74806.96012723222,48539.18992542267,98440.09426716634
2023-11-08,74343.91822071839,50211.61832715117,99067.10635627968
2023-11-09,72927.00755926773,48455.31983439566,97283.22185926633
2023-11-10,74540.57923194018,49880.43852966552,98977.72226920666
2023-11-11,71587.58957265074,45924.033787969856,94977.45362162904
2023-11-12,73265.58733447555,49154.4554970852,98395.96871155172
2023-11-13,70034.54571878308,46588.58179479225,92833.01019467416
2023-11-14,71232.79071025093,46183.81612993968,96883.70190434385
2023-11-15,70411.46841820246,47073.98033491402,95964.27890711844
2023-11-16,68701.42148697177,43034.09399403682,92991.26691745756
2023-11-17,70093.69226773216,45877.48412029382,94302.08288073764
2023-11-18,66996.67526553983,41663.251239351746,91477.56215729525
2023-11-19,68611.96935626853,42051.30775246182,92889.50532383769
2023-11-20,65402.10212474733,38973.207895658175,91891.5405888721
2023-11-21,66706.38053994981,42585.28329458186,89953.12764932457
2023-11-22,66075.31277026334,42348.906919751804,90308.51472421331
2023-11-23,64637.47258798287,39347.45617318644,90488.14438122373
2023-11-24,66379.83636692619,42112.41631071326,91122.05967506804
2023-11-25,63705.55664694103,39408.36300750774,88589.53905616717
2023-11-26,65809.3386418701,39190.48393182832,90441.29446296603
2023-11-27,63145.47357406233,38020.00856896761,88201.54861763517
2023-11-28,65043.83905990163,41642.81782334667,91343.64297292545
2023-11-29,65044.4966148262,38735.08747543463,91351.62629266501
2023-11-30,64264.75407687661,38000.72992664773,89159.14329157076
2023-12-01,66679.90711215309,43009.04724017164,91263.5496542751
2023-12-02,64680.67759974498,39822.12115282585,88952.11743494432
2023-12-03,67449.39359164084,42607.78950635675,91767.5169096833
2023-12-04,65428.07644976024,39501.46613420479,91080.34208675659
2023-12-05,67934.68182939713,43193.482162279135,92177.96915363955
2023-12-06,68497.93114180055,44171.2581273792,93616.5620845178
2023-12-07,68224.5963375109,42906.67608364152,92861.9092815493
2023-12-08,71080.44748737525,45834.03817219361,96506.55048951895
2023-12-09,69447.87664779059,45045.487881551824,94908.92439871377
2023-12-10,72502.23886807644,49344.78887920885,96432.30668000512
2023-12-11,70680.07265936189,45620.90354358603,95329.49598230237
2023-12-12,73295.44393866856,48370.06999306978,96501.06420872954
2023-12-13,73874.8481057706,48632.015125709215,99237.77392000791
2023-12-14,73524.5318390501,47103.7575130519,97210.21040722057
2023-12-15,76211.44357130991,50835.03091972098,100218.21807177388
2023-12-16,74320.82636056266,47771.54129397092,98340.24574268154
2023-12-17,77032.49497081668,53825.22061149712,101644.07997521975
2023-12-18,74788.96087602177,50884.35454385214,99444.96103340806
2023-12-19,76911.6528233602,52991.227449383274,100644.58970241697
2023-12-20,76935.66788432156,50943.70044810115,101087.44826480042
2023-12-21,75976.92062470067,49883.200258045326,100712.2053862578
2023-12-22,78012.90188990053,53409.406751320974,102689.86006152631
2023-12-23,75440.06537189844,51597.14353760574,100895.40794830167
2023-12-24,77449.8882022535,51775.81392584978,101448.32879399593
2023-12-25,74496.77411437112,49082.265421432494,100867.2549068209
2023-12-26,75914.05009742604,52674.65824381257,100037.28091730182
2023-12-27,75248.49863151352,50719.26987074828,101778.725223953
2023-12-28,73627.29487179984,49114.64463713877,98509.32663853295
2023-12-29,75038.56569779475,50068.629488090024,100105.4265904364
2023-12-30,71888.5922935113,44843.55881785325,98586.43273454961
2023-12-31,73377.70584707177,48928.06423986567,97725.2235494154
2024-01-01,69968.04777626751,45167.92335452625,95130.68294258644
2024-01-02,70999.44773575838,47273.43658785602,96396.74469907572
2024-01-03,70023.86326129208,45080.7234056032,95284.24152233251
2024-01-04,68172.25159528982,42559.46615313122,94370.90266422527
2024-01-05,69435.09118872674,45164.94313306363,93797.42316028268
2024-01-06,66219.57453180195,42915.76926192193,90846.04852321486
2024-01-07,67725.52131547515,43068.92212678569,93276.08204183992
2024-01-08,64413.18220179861,37531.48492217197,88400.95038802554
2024-01-09,65619.18483130807,39356.02011773837,90163.43448366839
2024-01-10,64890.971769100644,40488.26310550626,89693.68762829047
2024-01-11,63354.05886859042,39486.05056316408,86468.7773459931
2024-01-12,64992.4079772452,39601.62892180692,89943.53026343924
2024-01-13,62205.85340013959,36211.81935963308,86581.30767574596
2024-01-14,64186.16752766475,36701.647414319144,88187.00101867586
2024-01-15,61385.02468637753,36124.73698011247,87962.37771003478
2024-01-16,63130.11151921037,38514.59225930694,87188.511901251
2024-01-17,62959.822402001504,37150.712649933936,89153.09189608564
2024-01-18,61990.4048206287,38912.980707383314,87359.00088404363
2024-01-19,64196.76644135771,39241.77122370998,89438.05486836933
2024-01-20,61969.95974724693,35652.63672967366,87719.84470482844
2024-01-21,64493.38756739754,39293.21337555209,89311.56164406947
2024-01-22,62210.894319449275,37755.331809168594,85956.53389993004
2024-01-23,64442.98945560931,38149.697493548774,88640.75256392822
2024-01-24,64721.64016719296,39317.01244143806,89915.3198288886
2024-01-25,64157.497193782445,37793.75917195703,87141.0983649502
2024-01-26,66720.76476682205,42917.9644022505,91557.24463345394
2024-01-27,64798.730226656626,41345.63654613779,91463.83421046894
2024-01-28,67571.99665942667,41371.17682900487,91790.51595818088
2024-01-29,65482.58372674064,40969.35284268717,92123.54006743111
2024-01-30,67850.14383593856,42802.37978323125,93778.53412899715
2024-01-31,68206.73163639108,43301.54078866286,92668.52552855376
2024-02-01,67663.99185596671,43292.891127989125,92116.30862935584
2024-02-02,70193.96654706237,43762.40453687665,95199.63823663177
2024-02-03,68186.59544253863,41770.45671013811,94174.8898845193
2024-02-04,70825.84114303408,47206.96222242063,95990.25412401916
2024-02-05,68557.7193042402,43065.18414294828,93198.75559540211
2024-02-06,70706.42610474677,46060.79395291937,96436.3944063397
2024-02-07,70809.01408170671,47128.10138427691,95544.72720958872
2024-02-08,69982.48309845185,45657.845429433735,97414.2656294418
2024-02-09,72204.50053651983,46634.63742373279,97642.45549672216
2024-02-10,69870.76939447127,44378.440963157715,95432.57691301794
2024-02-11,72171.09080390987,47703.09796743297,97119.17695572518
2024-02-12,69557.28926250088,44768.933219479935,93885.53596687764
2024-02-13,71359.25077328325,46687.30656743678,96096.94227223835
2024-02-14,71119.51478645828,46286.433527617985,98145.194455677
2024-02-15,69960.28770034987,45871.452288297856,93540.025001906
2024-02-16,71864.09286190804,47895.70803697677,98240.1891906954
2024-02-17,69231.07645209614,44253.66573421709,95448.15983291353
2024-02-18,71255.01632690981,47684.06104468475,94813.4885197227
2024-02-19,68391.20253665757,44344.343552188424,93567.18199215268
2024-02-20,69972.44000251594,46870.647944788834,95564.91625041552
2024-02-21,69543.61440992054,45903.847577335524,93385.56068067599
2024-02-22,68228.68911893814,43548.62329470865,93054.41392215648
2024-02-23,70011.34796154083,45575.022491727985,94805.47707679591
2024-02-24,67292.30313398276,43282.34971694996,94066.51127816094
2024-02-25,69265.31497586142,43056.35577157692,93831.05688041066
2024-02-26,66385.09043542716,41556.97139096445,89382.84138615965
2024-02-27,67983.31797564501,44228.35698643592,91970.76594296275
2024-02-28,67603.26394495882,43761.05193511089,93266.44332430355
2024-02-29,66366.81306091843,41613.40330433176,90437.57279234577
2024-03-01,68255.15942222947,43644.44696224488,94916.63699406385
2024-03-02,65666.16801900692,39805.93165348294,89833.97377647948
2024-03-03,67790.45267822717,43104.27237052157,93431.64018961068
2024-03-04,65079.337874700934,41655.92476909798,89689.06691212422
2024-03-05,66860.95344792255,42069.82363637643,90298.99744253681
2024-03-06,66674.90171204328,41364.2867356206,91127.98031795424
2024-03-07,65639.36306760822,39246.54429348035,90207.37037863923
2024-03-08,67731.85319122807,42618.359291939145,90598.2697731407
2024-03-09,65346.649131217724,39995.2118174263,90499.43927782774
2024-03-10,67670.92915848613,43607.31081032965,93895.93221638819
2024-03-11,65152.792735466595,38896.34765663001,89475.00561366421
2024-03-12,67117.40861639044,42080.55661989307,90325.38806148963
2024-03-13,67101.7295985131,42346.10709294379,89908.76635657095
2024-03-14,66221.63914561999,41289.35468316359,91366.43246833836
2024-03-15,68452.742172688,44164.31966291742,93432.04412627596
2024-03-16,66187.81665431387,41328.1590638309,90858.25951344057
2024-03-17,68612.97037991113,45250.97906703144,92414.5644413299
2024-03-18,66175.66885064536,40719.82575898797,89638.28089914985
2024-03-19,68200.88213610636,43521.051926198306,93346.54809259454
2024-03-20,68225.78897187834,43412.56549112706,95676.2597208454
2024-03-21,67366.90464699481,42208.01576267719,92320.93667538548
2024-03-22,69600.84306514803,42689.956335892755,94925.65746978919
2024-03-23,67321.73251094812,41601.682487907594,92801.41865909622
2024-03-24,69717.32907427452,43865.7168825235,94251.46481354395
2024-03-25,67236.99491424297,42988.56434183992,92565.41859759158
